,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
16,NCB42,0.43137838642453114,2,0.0261762726785027,9,0.35679019891476343,18,1.0,0.5,3,2,1621.8888
17,FDP49,0.2646621018160167,1,0.21071340858031198,2,0.09792681104795281,49,0.5833333333333334,0.5,1,1,718.3982
18,DRI11,0.4943521991149732,2,0.10425890910976023,5,0.34802188809431645,27,0.0,0.5,3,3,2303.6679999999997
19,FDU02,0.5236677582613872,2,0.31210397431539433,12,0.845698442773805,35,0.7916666666666666,0.0,2,1,2748.4224
20,FDN22,0.8511461744566835,1,0.4208102502265074,15,0.9320199118499957,13,0.08333333333333333,1.0,3,1,3775.086
21,FDW12,0.4943521991149732,1,0.10779810836929646,10,0.4807095464145767,27,0.0,0.5,3,3,4064.0432
22,NCB30,0.5980946710330455,2,0.07825469659413388,14,0.7012713159342339,35,0.7916666666666666,0.0,2,1,1587.2672
23,FDC37,0.4943521991149732,2,0.17526974586400595,10,0.3242967694177889,19,0.0,0.0,1,4,214.3876
24,FDR28,0.5534385233700505,1,0.07885870532582402,13,0.567622700323941,46,0.5,0.0,1,1,4078.025
25,NCD06,0.502828222685323,2,0.3041713043807773,14,0.06203777275227679,17,0.9166666666666666,0.5,2,1,838.908
26,FDV10,0.18398332837153913,1,0.2030915815621081,15,0.04677960461531148,35,0.7916666666666666,0.0,2,1,1065.28
27,DRJ59,0.42244715689193213,2,0.058942343319402325,5,0.03321924087769696,13,0.08333333333333333,1.0,3,1,308.9312
28,FDE51,0.08157189639773742,1,0.49168996582695085,12,0.06035100408152178,10,0.5416666666666666,0.5,3,4,178.4344
29,FDC14,0.4943521991149732,1,0.21992628432620498,11,0.05244263118934595,19,0.0,0.0,1,4,125.8362
30,FDV38,0.8749627865436141,2,0.5187370481356873,12,0.10401428872182494,10,0.5416666666666666,0.5,3,4,163.7868
31,NCS17,0.8362607919023519,2,0.2461376371433965,9,0.2765451717838492,18,1.0,0.5,3,2,2741.7644
32,FDP33,0.8422149449240844,2,0.0,15,0.95661600418339,18,1.0,0.5,3,2,3068.0064
33,FDO23,0.791604644239357,2,0.0,6,0.2625382854892054,45,0.7083333333333334,0.5,2,1,2174.5028
34,DRH01,0.7707651086632926,2,0.2981325447496805,8,0.609443018288749,46,0.5,0.0,1,1,2085.2856
35,NCX29,0.32420363203334324,2,0.2719049886844018,9,0.4899023083348613,49,0.5833333333333334,0.5,1,1,3791.0652
36,FDV20,0.4943521991149732,1,0.18122244952988167,16,0.4107744364987199,27,0.0,0.5,3,3,2797.6916
37,DRZ11,0.2557308722834177,1,0.3444793277310433,8,0.38730653518869396,18,1.0,0.5,3,2,1609.9044
38,FDX10,0.4943521991149732,1,0.3748929553320087,15,0.024182676962152552,27,0.0,0.5,3,3,388.1614
39,FDB34,0.4943521991149732,2,0.08063850164347404,15,0.23909245563637105,27,0.0,0.5,3,3,2180.495
40,FDU02,0.5236677582613872,2,0.3121630015209798,12,0.8461228938736426,46,0.5,0.0,1,1,3435.528
41,FDK43,0.31229532598987797,2,0.08166616699800142,7,0.40200612567827293,13,0.08333333333333333,1.0,3,1,2150.534
42,FDA46,0.5385531408157189,2,0.3587746517300471,15,0.6860131477972686,49,0.5833333333333334,0.5,1,1,2527.3768
43,FDC02,1.0,2,0.21042854993676618,11,0.9704556567446978,18,1.0,0.5,3,2,6768.5228
44,FDL50,0.4522179220005954,1,0.12874248592260223,11,0.40413941690605704,13,0.08333333333333333,1.0,3,1,373.5138
45,FDM39,0.11104495385531409,2,0.272537737550549,12,0.6231375085739123,10,0.5416666666666666,0.5,3,4,358.2004
46,NCP05,0.8958023221196785,2,0.0,9,0.5178829737383616,45,0.7083333333333334,0.5,2,1,2428.8384
47,FDV49,0.32420363203334324,2,0.07880721791393593,11,0.9929294935789038,45,0.7083333333333334,0.5,2,1,5815.0972
48,FDL12,0.6725215838047037,1,0.3703899932101661,10,0.1244999966043912,46,0.5,0.0,1,1,2576.646
49,FDS02,0.4943521991149732,1,0.7777160045227557,12,0.7028460295146317,19,0.0,0.0,1,4,780.3176
50,NCL17,0.16880023816612086,2,0.20639945288625922,9,0.47789458672045315,46,0.5,0.0,1,1,3134.5864
51,FDM40,0.33581423042572195,2,0.48662685123708094,13,0.4678529226004931,13,0.08333333333333333,1.0,3,1,850.8924
52,FDR13,0.31795177136052394,1,0.08738648910627098,11,0.36400586761200415,13,0.08333333333333333,1.0,3,1,810.9444
53,FDA43,0.3774933015778505,2,0.1980614307310322,16,0.7007237740154433,17,0.9166666666666666,0.5,2,1,3121.2704
54,NCP18,0.4522179220005954,2,0.08757858027195073,14,0.5101087273937345,17,0.9166666666666666,0.5,2,1,4815.0656
55,FDK21,0.19946412622804408,2,0.030613222018531398,15,0.9242456655053685,18,1.0,0.5,3,2,6258.52
56,NCX54,0.27627270020839534,2,0.14664636249352403,14,0.3177958763726748,45,0.7083333333333334,0.5,2,1,2117.244
57,DRK35,0.2268532301280143,2,0.21912357036101981,5,0.02869544105562688,49,0.5833333333333334,0.5,1,1,796.9626
58,FDY21,0.6278654361417088,2,0.5282767538403645,15,0.6927933296660759,46,0.5,0.0,1,1,4910.275
59,FDI26,0.4943521991149732,2,0.18600444796669607,11,0.6313472417469729,19,0.0,0.0,1,4,892.172
60,FDM20,0.32420363203334324,2,0.0,16,0.9152201373184199,18,1.0,0.5,3,2,3185.1872
61,FDV27,0.20333432569217028,1,0.1220226417446805,7,0.23795322888440668,45,0.7083333333333334,0.5,2,1,1062.6168
62,FDF09,0.4943521991149732,2,0.036816100058884686,16,0.029689505531446725,27,0.0,0.5,3,3,484.7024
63,FDY40,0.4943521991149732,1,0.4576435218914743,13,0.08395303193909637,19,0.0,0.0,1,4,147.8076
64,FDY45,0.4943521991149732,2,0.07922118182136981,15,0.9530862688371399,27,0.0,0.5,3,3,2543.356
65,FDC46,0.7826734147067579,2,0.5940121893981073,15,0.6542344939524208,10,0.5416666666666666,0.5,3,4,184.4266
66,FDH19,0.8809169395653469,2,0.10074033770260926,7,0.5996806429924821,35,0.7916666666666666,0.0,2,1,4865.6664
67,FDZ03,0.5415302173265852,1,0.2404038706937805,12,0.6567701648228511,45,0.7083333333333334,0.5,2,1,1118.5439999999999
68,DRH37,0.7767192616850254,2,0.12698509582547932,8,0.5669079246718144,45,0.7083333333333334,0.5,2,1,2302.3364
69,NCI17,0.2435248585888657,2,0.4367435944062624,9,0.2739874294562273,46,0.5,0.0,1,1,2027.361
70,FDJ58,0.657636201250372,1,0.3206424313498434,15,0.5895048523249734,46,0.5,0.0,1,1,3435.528
71,FDL12,0.6725215838047037,1,0.370081763033249,10,0.11855768120666356,13,0.08333333333333333,1.0,3,1,599.22
72,FDH35,0.8154212563262875,2,0.0,3,0.5664834735719768,45,0.7083333333333334,0.5,2,1,4604.6728
73,FDG02,0.19648704971717776,2,0.034485914027082135,11,0.6720283329598163,17,0.9166666666666666,0.5,2,1,2285.0256
74,NCZ18,0.19470080381065794,2,0.5674856421438267,14,0.9468646646157189,49,0.5833333333333334,0.5,1,1,5580.7356
75,FDC29,0.22834176838344747,1,0.07370989105339164,13,0.3511382080693247,46,0.5,0.0,1,1,2290.3520000000003
76,FDQ10,0.49389699315272395,2,0.10119285017563882,15,0.598697614245258,49,0.5833333333333334,0.5,1,1,1207.0954
77,FDN48,0.4943521991149732,2,0.3462956110471108,10,0.24911204829913958,19,0.0,0.0,1,4,643.1628
78,FDL04,0.8600774039892825,2,0.3427515517266937,13,0.3127024631746226,17,0.9166666666666666,0.5,2,1,1587.933
79,FDV25,0.08038106579339091,2,0.0,11,0.811786497701173,45,0.7083333333333334,0.5,2,1,5305.0944
80,FDD58,0.19083060434653168,2,0.18073653175117357,15,0.29957758626544156,46,0.5,0.0,1,1,1697.79
81,FDN04,0.43137838642453114,1,0.04289721469423694,13,0.6326205950464858,46,0.5,0.0,1,1,1427.4752
82,FDV45,0.7261089610002976,2,0.13773505108916706,15,0.664968862267316,18,1.0,0.5,3,2,4693.89
83,NCL18,0.4943521991149732,2,0.8935013610667489,14,0.6932288164945093,19,0.0,0.0,1,4,583.2408
84,FDR12,0.4943521991149732,1,0.09556306040445425,10,0.5945982655230256,27,0.0,0.5,3,3,3091.9752
85,FDG20,0.6516820482286394,1,0.38490360580828187,16,0.6184795822042934,17,0.9166666666666666,0.5,2,1,2479.4392
86,FDZ55,0.08931229532598987,2,0.07735870356572677,16,0.5505215655114807,35,0.7916666666666666,0.0,2,1,2716.4640000000004
87,FDQ49,0.4943521991149732,1,0.11893652135624638,2,0.5291759197006431,27,0.0,0.5,3,3,3285.723
88,FDN33,0.10419767788032151,1,0.3749060829776587,15,0.2731495629851476,46,0.5,0.0,1,1,661.8052
89,FDN27,0.9702292348913367,2,0.1206610786360652,7,0.36498889635922827,49,0.5833333333333334,0.5,1,1,1523.3504
90,FDW20,0.964275081869604,2,0.1230886333687858,16,0.38575389306548763,10,0.5416666666666666,0.5,3,4,369.519
91,DRG27,0.25841024114319733,2,0.32057555679031685,12,0.03660381394780272,49,0.5833333333333334,0.5,1,1,690.4346
92,DRI25,0.8958023221196785,2,0.10344437082352222,8,0.10132241984665431,45,0.7083333333333334,0.5,2,1,1381.535
93,FDA44,0.901756475141411,2,0.1620405566112011,16,0.11291672608982065,35,0.7916666666666666,0.0,2,1,622.523
94,NCR17,0.31229532598987797,2,0.07423683919570158,9,0.3533945901160619,35,0.7916666666666666,0.0,2,1,1274.3412
95,FDU04,0.4943521991149732,2,0.029582407977944626,13,0.3767062934213475,19,0.0,0.0,1,4,487.3656
96,FDF41,0.4522179220005954,2,0.4000833847588271,13,0.9115342039674293,49,0.5833333333333334,0.5,1,1,1231.73
97,FDB56,0.24977671926168502,1,0.22720812024331438,16,0.6628466067681276,35,0.7916666666666666,0.0,2,1,3755.112
98,NCP18,0.4943521991149732,2,0.08666426761556167,14,0.5037419608961691,27,0.0,0.5,3,3,4363.6532
99,FDB56,0.24977671926168502,1,0.22725109036805724,16,0.6645444111674783,46,0.5,0.0,1,1,1314.2892
100,FDT28,0.520690681750521,2,0.1939611441421339,13,0.5084109229943836,45,0.7083333333333334,0.5,2,1,1805.6496
101,FDD10,0.4943521991149732,1,0.13946130147290176,15,0.6249804752494075,27,0.0,0.5,3,3,2854.9504
102,FDW57,0.22357844596606136,1,0.3528027301166657,15,0.627393055300885,49,0.5833333333333334,0.5,1,1,3896.2616
103,DRB48,0.7261089610002976,1,0.07561964223203863,8,0.03180072530203942,13,0.08333333333333333,1.0,3,1,667.7974
104,FDP09,0.9047335516522774,2,0.1036201186641722,15,0.7674084374087431,18,1.0,0.5,3,2,3185.853
105,FDH14,0.7469484965763621,1,0.14242049083521022,11,0.46644544275343125,13,0.08333333333333333,1.0,3,1,2247.7408
106,FDA47,0.3539743971420065,1,0.3549936522610848,10,0.5595581294270251,13,0.08333333333333333,1.0,3,1,1794.3310000000001
107,FDG12,0.12384638285203929,1,0.0,10,0.38209003117168877,45,0.7083333333333334,0.5,2,1,2530.7058
108,DRE60,0.4943521991149732,2,0.8495181633325654,8,0.8237831835869854,19,0.0,0.0,1,4,679.1160000000001
109,DRK49,0.5713009824352485,2,0.10936295661840227,8,0.04297058044536806,13,0.08333333333333333,1.0,3,1,812.2760000000001
110,FDD03,0.520690681750521,2,0.24302212495820683,12,0.8541653933133672,46,0.5,0.0,1,1,699.09
111,FDS52,0.2581125334921108,2,0.016765020575414884,13,0.30183396831217874,17,0.9166666666666666,0.5,2,1,2732.4432
112,FDW39,0.4943521991149732,1,0.1967939201539745,7,0.6182002933806003,19,0.0,0.0,1,4,176.437
113,FDX34,0.4943521991149732,2,0.21814528517393847,15,0.38378783557103957,27,0.0,0.5,3,3,4097.3332
114,FDV11,0.2706162548377493,1,0.0,6,0.602361476139057,45,0.7083333333333334,0.5,2,1,3151.8972
115,FDD17,0.1753498064900268,2,0.09950846148170928,13,0.8820119321693186,49,0.5833333333333334,0.5,1,1,5942.265
116,FDZ16,0.7320631140220304,1,0.4895386275994429,13,0.6840360545742247,17,0.9166666666666666,0.5,2,1,4843.695
117,FDZ46,0.1744566835367669,2,0.21045235997187106,15,0.3299377245346318,35,0.7916666666666666,0.0,2,1,2542.0244
118,DRA12,0.41947008038106576,2,0.12539171755733047,8,0.46275950940244087,17,0.9166666666666666,0.5,2,1,2552.6772
119,FDY58,0.42244715689193213,2,0.12205328205331652,15,0.8309878165556303,18,1.0,0.5,3,2,1141.847
120,NCF19,0.502828222685323,2,0.10751612434822655,14,0.06881795462108402,17,0.9166666666666666,0.5,2,1,680.4476
121,DRJ13,0.4819886871092587,2,0.19189885526320902,8,0.54231183233842,45,0.7083333333333334,0.5,2,1,2085.9514
122,FDB14,0.9345043167609407,1,0.5235795384956835,11,0.2598574523426305,10,0.5416666666666666,0.5,3,4,186.424
123,FDJ38,0.240845489729086,1,0.12240876992748288,11,0.6742957507351494,35,0.7916666666666666,0.0,2,1,3036.048
124,FDW11,0.4790116105983923,2,0.14938905685061696,6,0.1334024339723869,17,0.9166666666666666,0.5,2,1,866.8716
125,FDL40,0.7826734147067579,2,0.03535712561723839,13,0.2705918206575257,35,0.7916666666666666,0.0,2,1,868.8689999999999
126,DRI49,0.5713009824352485,2,0.5588074096366382,8,0.21705410563059852,46,0.5,0.0,1,1,1137.1864
127,FDV38,0.8749627865436141,2,0.31166973274793186,12,0.09128075572669425,17,0.9166666666666666,0.5,2,1,928.1252
128,DRG23,0.2575171181899375,2,0.2640419522160519,5,0.5113710449646518,13,0.08333333333333333,1.0,3,1,762.341
129,NCP30,0.9493896993152723,2,0.09998797835316703,14,0.03816749179960477,45,0.7083333333333334,0.5,2,1,707.0796
130,FDY25,0.4943521991149732,2,0.10295628794250442,11,0.6337377503412587,27,0.0,0.5,3,3,7968.2944
131,NCH54,0.5325989877939863,2,0.2212884381941003,14,0.5475504078126168,46,0.5,0.0,1,1,1438.128
132,NCR53,0.4943521991149732,2,0.43953249588353455,9,0.8198289971408975,27,0.0,0.5,3,3,6976.2524
133,FDS52,0.2581125334921108,2,0.027903375704497187,13,0.2988628106133148,10,0.5416666666666666,0.5,3,4,101.2016
134,FDG02,0.19648704971717776,2,0.03443163725694412,11,0.6673593708616018,18,1.0,0.5,3,2,952.0939999999999
135,NCO26,0.15957130098243527,2,0.234036986914755,14,0.35976135661362724,46,0.5,0.0,1,1,1969.4364
136,FDH35,0.4943521991149732,2,0.18257773658243465,3,0.5694546312708405,27,0.0,0.5,3,3,5262.4832
137,FDB51,0.14081571896397738,2,0.1173359443513041,12,0.12434379859965093,45,0.7083333333333334,0.5,2,1,1314.2892
138,FDX44,0.2825245608812147,2,0.13157969567419378,16,0.2526638551025813,17,0.9166666666666666,0.5,2,1,535.3032
139,NCN07,0.8303066388806192,2,0.17301471111195182,4,0.4280096978587291,10,0.5416666666666666,0.5,3,4,263.6568
140,NCC31,0.2063114022030366,2,0.060497115164087886,14,0.5233787665790599,35,0.7916666666666666,0.0,2,1,1402.1748
141,NCX54,0.27627270020839534,2,0.14717737286717172,14,0.31355136537429795,17,0.9166666666666666,0.5,2,1,1693.7952
142,NCO55,0.4909199166418577,2,0.2777843163935201,4,0.31538329632119744,45,0.7083333333333334,0.5,2,1,2143.876
143,NCC30,0.7171777314676987,2,0.08411339036056499,14,0.6211604153508683,49,0.5833333333333334,0.5,1,1,2676.5159999999996
144,FDI16,0.5623697529026496,1,0.0,13,0.09241998247865857,35,0.7916666666666666,0.0,2,1,905.488
145,FDP16,0.8362607919023519,2,0.11984479852349646,13,0.9129527195430869,49,0.5833333333333334,0.5,1,1,7370.406
146,FDB11,0.6814528133373027,2,0.18525639750581677,3,0.830015823537002,35,0.7916666666666666,0.0,2,1,6301.1312
147,NCB06,0.7767192616850254,2,0.25066618462333495,9,0.5492482122119675,35,0.7916666666666666,0.0,2,1,1597.92
148,FDA45,0.9940458469782673,2,0.4730651071417474,15,0.6237181576784901,35,0.7916666666666666,0.0,2,1,529.311
149,NCO26,0.15957130098243527,2,0.23399273173632057,14,0.3661281231111926,35,0.7916666666666666,0.0,2,1,1969.4364
150,DRJ25,0.5980946710330455,2,0.4610942716971602,8,0.08098187424023254,17,0.9166666666666666,0.5,2,1,1034.6532
151,FDR28,0.5534385233700505,1,0.07917994134235393,13,0.552766911829622,18,1.0,0.5,3,2,1794.3310000000001
152,FDI04,0.5415302173265852,1,0.2229338154594931,13,0.7060854403085929,18,1.0,0.5,3,2,2768.3964
153,DRK12,0.4943521991149732,2,0.1269324908432007,8,0.0,27,0.0,0.5,3,3,898.83
154,FDX20,0.16731169991068773,2,0.12960239086736336,16,0.8271787923856868,46,0.5,0.0,1,1,3169.208
155,NCI18,0.8213754093480202,2,0.0428792452586117,14,0.8161540995185027,18,1.0,0.5,3,2,3589.9936
156,FDB36,0.054182792497767196,1,0.0,10,0.4298526645342244,18,1.0,0.5,3,2,262.3252
157,FDN13,0.8362607919023519,2,0.4656595589230431,2,0.2909434019925433,17,0.9166666666666666,0.5,2,1,1910.1802
158,DRD24,0.5534385233700505,2,0.09430611345596529,8,0.465306216001467,17,0.9166666666666666,0.5,2,1,1701.7848
159,FDQ28,0.5623697529026496,1,0.1838563954570392,13,0.5232446400315113,13,0.08333333333333333,1.0,3,1,2471.4496
160,FDM22,0.5623697529026496,1,0.12766140557564942,15,0.09963565117589931,13,0.08333333333333333,1.0,3,1,1331.6
161,FDR07,0.4943521991149732,2,0.23559550429508183,16,0.27894671610673083,27,0.0,0.5,3,3,1808.9786
162,FDV25,0.08038106579339091,2,0.1395842707576702,11,0.811786497701173,18,1.0,0.5,3,2,3315.684
163,DRF49,0.16165525454004165,2,0.21644305189557175,8,0.3521322725451447,46,0.5,0.0,1,1,2618.5914
164,FDW51,0.09526644834772256,1,0.2882535940058859,7,0.7778745526285408,46,0.5,0.0,1,1,2769.728
165,DRL01,0.8898481690979457,1,0.2363306250451215,8,0.8582647420355997,17,0.9166666666666666,0.5,2,1,5375.0034
166,FDP25,0.6338195891634414,2,0.06494538637526635,11,0.7877489830151648,17,0.9166666666666666,0.5,2,1,2838.9712
167,FDL50,0.4522179220005954,1,0.1293745892167527,11,0.3977726504084917,18,1.0,0.5,3,2,1743.0644
168,NCB30,0.4943521991149732,2,0.07789047218195551,14,0.7110336912305008,27,0.0,0.5,3,3,5555.4352
169,FDW11,0.4790116105983923,2,0.1491539285668739,6,0.13000682517368542,18,1.0,0.5,3,2,619.194
170,NCM43,0.5921405180113128,2,0.05929422878002106,4,0.5667737981242658,35,0.7916666666666666,0.0,2,1,2120.573
171,FDK44,0.7171777314676987,2,0.3743064562181537,16,0.6018028984916707,17,0.9166666666666666,0.5,2,1,3823.0236
172,FDM15,0.43137838642453114,1,0.1747118711688728,7,0.50996356511759,13,0.08333333333333333,1.0,3,1,1360.2294
173,FDS31,0.5087823757070556,1,0.1344604571743555,16,0.6262427928203247,13,0.08333333333333333,1.0,3,1,3969.4996
174,FDI32,0.7826734147067579,2,0.8887741997078433,16,0.3560864589912326,10,0.5416666666666666,0.5,3,4,345.5502
175,FDR47,0.791604644239357,2,0.0,6,0.7015726762151187,10,0.5416666666666666,0.5,3,4,585.2382
176,FDB35,0.4611491515331944,1,0.19717359870711174,3,0.2605722279947572,45,0.7083333333333334,0.5,2,1,1010.6844
177,NCU05,0.43137838642453114,2,0.2993761600274073,9,0.2129547569083661,10,0.5416666666666666,0.5,3,4,161.1236
178,DRY23,0.4943521991149732,1,0.5816654331166278,8,0.04593070241563609,19,0.0,0.0,1,4,42.6112
179,FDO24,0.3896993152724025,2,0.5376915413636797,10,0.5355316504696127,45,0.7083333333333334,0.5,2,1,3010.7476
180,FDQ28,0.4943521991149732,1,0.18311844880693848,13,0.5168778735339459,27,0.0,0.5,3,3,6024.1584
181,FDV39,0.40160762131586786,2,0.022213316306148607,7,0.7082076958077813,45,0.7083333333333334,0.5,2,1,988.7130000000001
182,NCO17,0.4943521991149732,2,0.3912363077681422,9,0.3678038560533518,19,0.0,0.0,1,4,239.688
183,FDU50,0.07115212860970528,1,0.2287141483570978,12,0.3460447948712725,13,0.08333333333333333,1.0,3,1,1374.2112
184,FDT12,0.4943521991149732,1,0.15037383429947646,10,0.8298706612608575,27,0.0,0.5,3,3,4739.8302
185,FDK58,0.4045846978267341,1,0.1375366655965194,15,0.29164714191607416,18,1.0,0.5,3,2,1012.0160000000001
186,FDO08,0.4943521991149732,1,0.28671237917313114,16,0.5707279845703537,19,0.0,0.0,1,4,657.8104
187,NCW29,0.5623697529026496,2,0.08802871143695472,9,0.42080506489008423,49,0.5833333333333334,0.5,1,1,778.9860000000001
188,FDE04,0.9047335516522774,1,0.054994271644783585,13,0.6302080149950084,45,0.7083333333333334,0.5,2,1,2336.958
189,NCB19,0.1172968145281334,2,0.27539155555530115,14,0.2283470515928801,49,0.5833333333333334,0.5,1,1,2233.0932
190,FDV15,0.34206609109854125,2,0.44580921883388813,7,0.3084689879048415,49,0.5833333333333334,0.5,1,1,1661.8368
191,FDL58,0.07293837451622509,1,0.22614617257964123,15,0.9909524003558599,49,0.5833333333333334,0.5,1,1,4745.8224
192,FDA08,0.4343554629353974,1,0.15282615524469326,16,0.5639367669729507,45,0.7083333333333334,0.5,2,1,3124.5994
193,FDT43,0.7022923489133671,2,0.06282650032119642,16,0.07997677403581688,18,1.0,0.5,3,2,467.3916
194,NCX06,0.4943521991149732,2,0.047538094746752885,14,0.6422267723380125,27,0.0,0.5,3,3,5070.7328
195,FDT20,0.3539743971420065,2,0.1260553777505463,16,0.02685247438013161,46,0.5,0.0,1,1,540.6296
196,FDB41,0.8600774039892825,1,0.29633316506641344,13,0.07123053467256146,46,0.5,0.0,1,1,992.7078
197,NCN55,0.5980946710330455,2,0.1814392155535298,4,0.881006831964903,49,0.5833333333333334,0.5,1,1,6008.845
198,FDE40,0.4943521991149732,1,0.30044571143294724,12,0.1342513361720623,27,0.0,0.5,3,3,2105.2596
199,FDX49,0.4943521991149732,1,0.3085914871197972,11,0.8545898444132048,27,0.0,0.5,3,3,5359.69
200,NCM53,0.8451920214349508,2,0.1587938288725303,9,0.311283947598965,45,0.7083333333333334,0.5,2,1,745.696
201,FDE36,0.041976778803215244,1,0.12717916633926218,10,0.5543195539528282,35,0.7916666666666666,0.0,2,1,3275.736
202,FDN57,0.8154212563262875,2,0.1654862484211958,15,0.4623350583026031,45,0.7083333333333334,0.5,2,1,1701.7848
203,FDI24,0.4943521991149732,2,0.2386255908612926,10,0.6224448043789772,27,0.0,0.5,3,3,6704.606
204,FDI19,0.6278654361417088,2,0.15938036452819643,7,0.8975493891299772,46,0.5,0.0,1,1,4119.9704
205,FDF24,0.6516820482286394,1,0.12931221843544846,10,0.21351333455575253,10,0.5416666666666666,0.5,3,4,327.5736
206,FDG52,0.5415302173265852,2,0.2001665496577573,13,0.061334032828745874,49,0.5833333333333334,0.5,1,1,780.9834
207,DRF36,0.6874069663590354,2,0.07194203781768065,8,0.6710342684839966,45,0.7083333333333334,0.5,2,1,3630.6074
208,FDS45,0.4943521991149732,1,0.1572625808187624,15,0.32288928957072716,19,0.0,0.0,1,4,317.5866
209,FDX40,0.49389699315272395,2,0.5045639047273617,13,0.035765947476723105,10,0.5416666666666666,0.5,3,4,231.6984
210,DRK12,0.29443286692467996,2,0.1275260394814537,8,0.007215668697240741,35,0.7916666666666666,0.0,2,1,133.16
211,DRC27,0.5504614468591843,2,0.17689733031252736,12,0.9078593063450346,35,0.7916666666666666,0.0,2,1,5650.6446
212,FDL58,0.07293837451622509,1,0.0,15,0.986707889357483,17,0.9166666666666666,0.5,2,1,2636.5679999999998
213,NCD30,0.901756475141411,2,0.08192586964973224,14,0.2749704582034513,45,0.7083333333333334,0.5,2,1,1272.3438
214,NCZ54,0.6010717475439119,2,0.0,14,0.5529120741057665,10,0.5416666666666666,0.5,3,4,324.9104
215,FDE10,0.12593033640964574,1,0.4584618178939573,15,0.4192413870382821,10,0.5416666666666666,0.5,3,4,131.1626
216,FDR44,0.09258707948794287,1,0.0,16,0.4244799625124789,10,0.5416666666666666,0.5,3,4,260.9936
217,FDP28,0.5415302173265852,1,0.41102115884144286,13,0.9711593966682286,10,0.5416666666666666,0.5,3,4,260.9936
218,FDX15,0.7529026495980946,2,0.4755575357698349,7,0.549103049935823,13,0.08333333333333333,1.0,3,1,3690.5294
219,FDA39,0.10509080083358145,2,0.0,7,0.03816749179960477,35,0.7916666666666666,0.0,2,1,1139.1838
220,FDY24,0.01935099732063115,1,0.40713896900714813,10,0.09185036910267642,49,0.5833333333333334,0.5,1,1,1995.4026
221,FDC60,0.05180113128907413,1,0.35055748552484456,10,0.2421977398827836,17,0.9166666666666666,0.5,2,1,1416.8224
222,FDH28,0.6725215838047037,1,0.33506099260689726,13,0.025299832256925343,46,0.5,0.0,1,1,265.6542
223,FDT25,0.1753498064900268,2,0.15541855008744027,11,0.3837767998424438,17,0.9166666666666666,0.5,2,1,3552.7088
224,DRJ13,0.4819886871092587,2,0.19135109655945812,8,0.5529231098343622,13,0.08333333333333333,1.0,3,1,2406.867
225,NCO07,0.4943521991149732,2,0.052123796664456164,4,0.7668388240327608,19,0.0,0.0,1,4,213.05599999999998
226,FDW20,0.964275081869604,2,0.07347745772821973,16,0.3942429150622414,13,0.08333333333333333,1.0,3,1,2956.152
227,DRF27,0.4943521991149732,2,0.15151140828644277,12,0.512923687087858,19,0.0,0.0,1,4,153.134
228,FDS49,0.2646621018160167,2,0.0,11,0.20575012393972114,35,0.7916666666666666,0.0,2,1,1649.8524
